id,ind,fame,Iname,apartment,street,city,country,phone
1,FN,John,,,,,,
1,LN,Wick,,,,,,
1,AD,22,ContinentalHotel,NewYork,USA,,,
1,PH,9999999999,,,,,,
2,FN,Sherlock,,,,,,
2,LN,Homes,,,,,,
2,AD,44,BakerSt,London,UK,,,
2,PH,8888888888,,,,,,
3,FN,Ted,,,,,,
3,LN,Lasso,,,,,,
3,AD,AFC,Richmond,London,UK,,,
3,PH,3336669990,,,,,,
4,FN,Star,,,,,,
4,LN,Lord,,,,,,
4,AD,,,,,,,
4,PH,,,,,,,
5,FN,Clark,,,,,,
5,LN,,,,,,,
5,AD,44,DailyPlanet,Metropolis,USA,,,
5,PH,1234567890,,,,,,
6,FN,Bruce,,,,,,
6,LN,Wayne,,,,,,
6,AD,1007,MountainDrive,Gotham,USA,,,
6,PH,1111111111,,,,,,
7,FN,Sachin,,,,,,
7,LN,Chavan,,,,,,
7,AD,2013,MalleshPalya,Karnataka,India,,,
7,PH,1111111111,,,,,,
8,FN,,,,,,,
8,LN,Chavan,,,,,,
8,AD,2013,MalleshPalya,Karnataka,India,,,
8,PH,,,,,,,
9,FN,Dundappa,,,,,,
